customer_id,name,email,membership_age,revenue,preferred_film_language,preferred_film_category,city,preferred_film_year
1,MARY SMITH,MARY.SMITH@sakilacustomer.org,183.0,118.68,['English             '],"['Animation', 'Classics', 'Comedy', 'Documentary', 'Sports']",Sasebo,['00s']
2,PATRICIA JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,183.0,128.73,['English             '],"['Animation', 'Classics', 'Drama', 'Horror', 'Sports']",San Bernardino,['00s']
3,LINDA WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,183.0,135.74,['English             '],"['Animation', 'Comedy', 'Drama', 'Sci-Fi', 'Travel']",Athenai,['00s']
4,BARBARA JONES,BARBARA.JONES@sakilacustomer.org,183.0,81.78,['English             '],"['Comedy', 'Documentary', 'Foreign', 'Sci-Fi', 'Travel']",Myingyan,['00s']
5,ELIZABETH BROWN,ELIZABETH.BROWN@sakilacustomer.org,183.0,144.62,['English             '],"['Animation', 'Classics', 'Family', 'Games', 'Sports']",Nantou,['00s']
6,JENNIFER DAVIS,JENNIFER.DAVIS@sakilacustomer.org,183.0,93.72,['English             '],"['Animation', 'Children', 'Documentary', 'Drama', 'Sci-Fi']",Laredo,['00s']
7,MARIA MILLER,MARIA.MILLER@sakilacustomer.org,183.0,151.67,['English             '],"['Action', 'Animation', 'Family', 'Sports', 'Travel']",Kragujevac,['00s']
8,SUSAN WILSON,SUSAN.WILSON@sakilacustomer.org,183.0,92.76,['English             '],"['Classics', 'Documentary', 'Family', 'Sports', 'Travel']",Hamilton,['00s']
9,MARGARET MOORE,MARGARET.MOORE@sakilacustomer.org,183.0,89.77,['English             '],"['Classics', 'Comedy', 'Foreign', 'Sports', 'Travel']",Masqat,['00s']
10,DOROTHY TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,183.0,99.75,['English             '],"['Action', 'Children', 'Foreign', 'Horror', 'Sports']",Esfahan,['00s']
11,LISA ANDERSON,LISA.ANDERSON@sakilacustomer.org,183.0,106.76,['English             '],"['Action', 'Children', 'Drama', 'Horror', 'Music']",Sagamihara,['00s']
12,NANCY THOMAS,NANCY.THOMAS@sakilacustomer.org,183.0,103.72,['English             '],"['Classics', 'Comedy', 'Documentary', 'Drama', 'Travel']",Yamuna Nagar,['00s']
13,KAREN JACKSON,KAREN.JACKSON@sakilacustomer.org,183.0,131.73,['English             '],"['Classics', 'Documentary', 'Family', 'Foreign', 'Sports']",Osmaniye,['00s']
14,BETTY WHITE,BETTY.WHITE@sakilacustomer.org,183.0,117.72,['English             '],"['Action', 'Children', 'Documentary', 'Drama', 'Foreign']",Citrus Heights,['00s']
15,HELEN HARRIS,HELEN.HARRIS@sakilacustomer.org,183.0,134.68,['English             '],"['Children', 'Classics', 'Foreign', 'Games', 'Sports']",Bhopal,['00s']
16,SANDRA MARTIN,SANDRA.MARTIN@sakilacustomer.org,183.0,120.71,['English             '],"['Action', 'Animation', 'Children', 'Games', 'Sports']",Southend-on-Sea,['00s']
17,DONNA THOMPSON,DONNA.THOMPSON@sakilacustomer.org,183.0,98.79,['English             '],"['Children', 'Drama', 'Foreign', 'Games', 'Sci-Fi']",Elista,['00s']
18,CAROL GARCIA,CAROL.GARCIA@sakilacustomer.org,183.0,91.78,['English             '],"['Action', 'Classics', 'Music', 'Sports', 'Travel']",Kaduna,['00s']
